date,close,high,low,open,volume
2016-01-04 09:30:00+00:00,498.89,499.73,498.81,499.545,1010884.0
2016-01-04 09:45:00+00:00,102.7,102.84,102.68,102.78,137361.0
2016-01-04 10:00:00+00:00,102.97,102.98,102.83,102.93,166398.0
2016-01-04 10:15:00+00:00,103.28,103.39,103.09,103.23,138105.0
2016-01-04 10:30:00+00:00,103.51,103.55,103.29,103.35,212347.0
2016-01-04 10:45:00+00:00,103.33,103.37,103.26,103.35,117743.0
2016-01-04 11:00:00+00:00,103.03,103.12,103.02,103.13,88257.0
2016-01-04 11:15:00+00:00,103.43,103.47,103.33,103.37,114620.0
2016-01-04 11:30:00+00:00,103.8,103.84,103.71,103.74,146884.0
2016-01-04 11:45:00+00:00,103.85,103.85,103.73,103.76,43873.0
2016-01-04 12:00:00+00:00,103.75,103.83,103.71,103.81,80156.0
2016-01-04 12:15:00+00:00,103.87,103.94,103.87,103.94,42053.0
2016-01-04 12:30:00+00:00,104.45,104.47,104.39,104.42,61056.0
2016-01-04 12:45:00+00:00,104.78,104.79,104.73,104.73,112206.0
2016-01-04 13:00:00+00:00,104.89,104.95,104.78,104.78,207259.0
2016-01-04 13:15:00+00:00,104.67,104.75,104.66,104.7,57202.0
2016-01-04 13:30:00+00:00,104.56,104.59,104.47,104.56,153922.0
2016-01-04 13:30:00+00:00,104.56,104.59,104.47,104.56,153922.0
2016-01-04 13:45:00+00:00,104.63,104.65,104.54,104.56,117873.0
2016-01-04 14:00:00+00:00,104.87,104.89,104.76,104.89,120178.0
2016-01-04 14:15:00+00:00,105.23,105.28,105.2,105.22,84004.0
2016-01-04 14:30:00+00:00,105.04,105.08,105.02,105.03,38510.0
2016-01-04 14:45:00+00:00,104.75,104.8,104.7,104.71,62128.0
2016-01-04 15:00:00+00:00,104.16,104.22,104.11,104.1,102164.0
2016-01-04 15:15:00+00:00,104.04,104.08,104.0,104.04,82937.0
2016-01-04 15:30:00+00:00,104.71,104.75,104.55,104.59,1759729.0
2016-01-04 15:45:00+00:00,105.33,105.35,105.13,105.15,320648.0
2016-01-05 09:30:00+00:00,104.96,105.06,104.91,105.05,194657.0
2016-01-05 09:45:00+00:00,104.14,104.2,104.11,104.17,90629.0
2016-01-05 10:00:00+00:00,104.09,104.1,104.02,104.1,97690.0
2016-01-05 10:15:00+00:00,104.19,104.23,104.14,104.16,65290.0
2016-01-05 10:30:00+00:00,104.32,104.43,104.25,104.36,90747.0
2016-01-05 10:45:00+00:00,104.49,104.56,104.48,104.52,51403.0
2016-01-05 11:00:00+00:00,103.98,104.03,103.97,104.02,55402.0
2016-01-05 11:15:00+00:00,103.92,104.0,103.89,103.97,72298.0
2016-01-05 11:30:00+00:00,104.03,104.06,104.0,104.06,69989.0
2016-01-05 11:45:00+00:00,104.09,104.1,104.02,104.09,37835.0
2016-01-05 12:00:00+00:00,103.02,103.12,102.63,102.73,470316.0
2016-01-05 12:15:00+00:00,103.09,103.17,102.99,103.07,98130.0
2016-01-05 12:30:00+00:00,102.86,102.9,102.79,102.88,163828.0
2016-01-05 12:45:00+00:00,103.03,103.05,102.87,102.89,139162.0
2016-01-05 13:00:00+00:00,102.85,102.89,102.79,102.82,77318.0
2016-01-05 13:15:00+00:00,103.04,103.05,102.99,103.04,69639.0
2016-01-05 13:30:00+00:00,103.42,103.43,103.28,103.3,84365.0
2016-01-05 13:45:00+00:00,103.48,103.53,103.46,103.46,38907.0
2016-01-05 14:00:00+00:00,103.39,103.45,103.38,103.43,56139.0
2016-01-05 14:15:00+00:00,103.55,103.58,103.49,103.58,86522.0
2016-01-05 14:30:00+00:00,103.07,103.1,103.05,103.09,66491.0
2016-01-05 14:45:00+00:00,102.98,103.03,102.95,102.99,148205.0
2016-01-05 15:00:00+00:00,103.0,103.08,102.96,103.01,148829.0
2016-01-05 15:15:00+00:00,102.8,102.85,102.77,102.84,86075.0
2016-01-05 15:30:00+00:00,102.78,102.77,102.7,102.72,158945.0
2016-01-05 15:45:00+00:00,102.71,102.74,102.59,102.66,566915.0
2016-01-06 09:30:00+00:00,100.98,101.01,100.8,100.81,198822.0
2016-01-06 09:45:00+00:00,101.41,101.49,101.38,101.4,113026.0
2016-01-06 10:00:00+00:00,101.72,101.75,101.53,101.53,152276.0
2016-01-06 10:15:00+00:00,102.35,102.36,102.23,102.28,141951.0
2016-01-06 10:30:00+00:00,101.35,101.45,101.3,101.37,123529.0
2016-01-06 10:45:00+00:00,101.5,101.56,101.44,101.5,95623.0
2016-01-06 11:00:00+00:00,101.82,101.82,101.65,101.73,113002.0
