Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-07-16,51.2,53.225,51.2,52.75,1.85,52.85,8732.0,39590.0
2020-07-17,52.65,52.925,52.025,52.2,-0.575,52.275,4934.0,40589.0
2020-07-20,52.225,52.65,51.0,51.075,-1.075,51.2,7967.0,41031.0
2020-07-21,51.125,51.85,50.925,51.8,0.35,51.55,6082.0,41973.0
2020-07-22,52.0,52.15,51.05,51.3,-0.1,51.45,6969.0,42559.0
2020-07-23,51.7,52.45,51.55,52.0,0.75,52.2,8272.0,43197.0
2020-07-24,52.2,52.2,51.5,51.775,-0.275,51.925,7735.0,44099.0
2020-07-27,51.925,52.25,50.725,51.525,-0.375,51.55,8661.0,44578.0
2020-07-28,51.475,52.25,51.25,51.725,0.25,51.8,6438.0,45862.0
2020-07-29,51.3,51.8,50.325,51.075,-0.775,51.025,6950.0,46134.0
2020-07-30,50.975,51.05,49.425,49.525,-1.25,49.775,7672.0,46934.0
2020-07-31,49.5,50.95,49.4,50.3,0.6,50.375,8677.0,47836.0
2020-08-03,50.05,50.375,49.425,50.025,-0.3,50.075,9322.0,48306.0
2020-08-04,50.0,50.725,49.825,50.6,0.5,50.575,8460.0,47988.0
2020-08-05,50.275,51.65,50.15,51.325,0.9,51.475,11185.0,48031.0
2020-08-06,51.275,51.75,51.225,51.525,0.025,51.5,5642.0,49123.0
2020-08-07,51.725,53.5,51.675,53.025,1.425,52.925,10308.0,49507.0
2020-08-10,53.325,54.975,53.225,54.675,1.775,54.7,16029.0,49832.0
2020-08-11,54.75,54.8,53.225,53.325,-1.4,53.3,11119.0,50650.0
2020-08-12,53.3,53.95,52.475,53.425,0.1,53.4,9312.0,50906.0
2020-08-13,53.6,54.45,53.325,54.475,0.95,54.35,8210.0,50892.0
2020-08-14,54.175,54.775,54.075,54.575,0.275,54.625,5597.0,51254.0
2020-08-17,54.35,55.1,54.35,55.0,0.325,54.95,6092.0,50897.0
2020-08-18,54.95,55.075,53.025,53.05,-1.775,53.175,6017.0,51305.0
2020-08-19,53.3,54.175,53.15,53.625,0.4,53.575,6596.0,51352.0
2020-08-20,54.375,56.375,54.1,56.0,2.275,55.85,13759.0,51950.0
2020-08-21,55.775,56.35,55.275,55.35,-0.4,55.45,7194.0,52884.0
2020-08-24,55.55,56.35,55.275,55.475,0.15,55.6,6289.0,52939.0
2020-08-25,56.0,56.7,55.65,56.65,1.075,56.675,7218.0,53951.0
